Term,NumPostings
Python,62.389380530973455
Statistics,43.51032448377581
R,39.38053097345133
Mathematics,29.05604719764012
PhD,21.976401179941004
Bachelor,21.238938053097346
Master,20.64896755162242
Tableau,19.469026548672566
Spark,18.289085545722713
Excel,16.519174041297934
Hadoop,15.929203539823009
AWS,15.191740412979351
Economics,15.044247787610619
Java,14.454277286135694
Physics,13.126843657817108
SAS,9.734513274336283
TensorFlow,8.849557522123893
Hive,8.55457227138643
Scala,8.112094395280236
C++,8.112094395280236
Scripting,7.817109144542773
Matlab,7.522123893805309
Pandas,7.374631268436578
Azure,6.1946902654867255
NLP,5.899705014749262
Looker,5.752212389380531
PyTorch,4.867256637168142
NumPy,4.572271386430678
Linux,3.8348082595870205
Airflow,3.5398230088495577
SPSS,3.0973451327433628
Keras,2.6548672566371683
MapReduce,2.5073746312684366
JavaScript,2.359882005899705
Stata,2.2123893805309733
Matplotlib,2.0648967551622417
Machine Learning,1.7699115044247788
MBA,1.7699115044247788
Perl,1.6224188790560472
Julia,1.4749262536873156
Pig,1.3274336283185841
sklearn,1.0324483775811208
Theano,0.8849557522123894
D3.js,0.7374631268436578
D3,0.7374631268436578
SageMaker,0.7374631268436578
Spotfire,0.5899705014749262
Japanese,0.5899705014749262
Oozie,0.5899705014749262
Caffe,0.4424778761061947
H2O,0.4424778761061947
Plotly,0.4424778761061947
French,0.4424778761061947
Octave,0.2949852507374631
OpenCV,0.2949852507374631
ZooKeeper,0.2949852507374631
NLTK,0.14749262536873156
Flume,0.14749262536873156
Teradata,0.14749262536873156
Spanish,0.14749262536873156
Chinese,0.14749262536873156
Seaborn,0.14749262536873156
